Product_ID,EAN13,Marca,Proveedor,Nombre,Categoria,Stock Real,Novedades,Estado_Producto,Cluster,is_outlier,precio_medio
1000,8436567350999,226ERS,226ERS SPORTS THINGS SL,226ERS Sub9 Salts Electrolytes 100 Cápsulas,Sin Gluten,145,False,Activo,1,0,70.51
1001,8436567350319,226ERS,226ERS SPORTS THINGS SL,"226ERS SALTS ELECTROLYTES 100 CAPS: Cápsulas con Sales Minerales, Vitamina D y Calcio - Sin Gluten - Veganas - Sin AzAocar AA+-adido - Hidratación / Electrolitos para Antes, Durante y DespuA(c)s del Ejercicio",Hidratación,156,False,Activo,1,0,68.49333333333334
1003,8436567357530,226ERS,226ERS SPORTS THINGS SL,226ERS Creatina Monohidratada 300 Gr - Sabor Neutro Sabor Neutro,Creatina,94,False,Activo,2,0,64.57
1007,8436567350104,226ERS,226ERS SPORTS THINGS SL,226ERS HIGH ENERGY GEL CAFFEINE - 1 Gel x 60 ml - Gel EnergA(c)tico Cereza Sin Gluten - Vegano - Con Ciclodextrina - 160mg de CafeAna y 50g de Hidratos de Carbono Sabor Cereza,Geles Energéticos,631,False,Activo,2,0,19.66
1008,8436567351163,226ERS,226ERS SPORTS THINGS SL,"226ERS SUB9 PRO SALTS ELECTROLYTES 100 CAPS: Cápsulas de Sales y 40 mg de CafeAna - Sin Gluten, Veganas y Sin AzAocar AA+-adido aEUR"" Con Sodio, Potasio, Magnesio y Calcio - Para Entrenamientos en Ayunas - Hidratación",Hidratación,55,False,Activo,1,0,29.53
1013,8436567356182,226ERS,226ERS SPORTS THINGS SL,226ers Nitropro Beetroot 14 Sticks X 10.3 Gr Sabor Remolacha,Energía,41,False,Activo,1,0,52.645
1014,8436567353259,226ERS,226ERS SPORTS THINGS SL,226ERS Whey Protein 1 Kilogramo - ProteAna Suero de Leche Concentrada / Sin Gluten Sabor Chocolate,Proteínas,30,False,Activo,3,0,73.35
1019,8436567350623,226ERS,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 1 KG - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED - Creatina y MCT - Ideal despuA(c)s del Ejercicio Sabor Vainilla,Recuperación,26,False,Activo,2,0,15.844999999999999
1024,8436567352269,226ERS,226ERS SPORTS THINGS SL,226ERS Race Day Bar BCAAs 1 barrita x 40 gr - Barritas EnergA(c)ticas Veganas con BCAA's y Leucina Sabor Chocolate Negro,Energía,398,False,Activo,2,0,42.44
1030,8436567351002,226ERS,226ERS SPORTS THINGS SL,"226ERS HydraZero 1 Sobre x 7,5 Gramos Sabor Limón",Hidratación,482,False,Activo,1,0,37.52
1035,8436567353426,226ERS,226ERS SPORTS THINGS SL,226ERS Energy Shot 1 Vial X 60 Ml Sabor PlA!tano,Pre-Entreno,222,False,Activo,1,0,62.417500000000004
1043,8436567350203,226ERS,226ERS SPORTS THINGS SL,226ERS Energy Gel BIO Frutas del Bosque con 100 mg de Cafeina - 1 gel x 25 gr / Sin Gluten ni Lactosa Sabor Frutas del Bosque,Geles Energéticos,256,False,Activo,2,0,46.64
