order_id,Product_ID,Nombre,Cantidad_pedir
OC-NASKORSPORTS-20250920210019,5757,5% Nutrition Rich Piana Kill It 357 Gr (30 Serv) Sabor Frambuesa Azul,34
OC-NASKORSPORTS-20250920210019,5762,5% Nutrition Rich Piana All Day You May 465 Gr (30 Serv) Sabor TA(c) Dulce,42
OC-NASKORSPORTS-20250920210019,5793,étivlab Sport Isotonic Run & Bike - 475 Gr Sabor Naranja,64
OC-NASKORSPORTS-20250920210019,5801,Battle Snacks Battle Bites Brownie 12 Brownies X 60 Gr Sabor Chocolate,62
OC-NASKORSPORTS-20250920210019,6434,Maxler L-carnitina 3000 500 Ml Sabor Manzana Verde,32
OC-NASKORSPORTS-20250920210019,6948,Peak Soy Protein Isolate 750 Gr Sabor Natural,62
OC-NASKORSPORTS-20250920210019,7431,San Mass Effect Revolution 5.89 Kg (13lbs) Sabor Vainilla,46
OC-NASKORSPORTS-20250920210019,7832,Zec+ Nutrition Whey Connection Professional 1 Kg Sabor Manzana-Canela,76
"OC-NANONEN,_SL-20250921002028",5365,Big Cfm Iso Zero - Aislado De ProteAna 2 Kg Sabor Mowgly Choco - Galleta,74
"OC-NANONEN,_SL-20250921002028",5602,"Max Protein Harina de Avena - Instant Oatmeal Good Morning 1,5 kg Sabor Donut",41
"OC-Biotech_Usa,_SL-20250921163113",2684,BioTechUSA EAA Zero 350 gr - AminoA!cidos Esenciales Sabor Limón,16
"OC-NATURBEST,_SLU-20250921163434",7940,Neo Proline L-carnitine 60 Caps.,3
"OC-NATURBEST,_SLU-20250921163434",8063,VitOBest Harina de Avena 1 kg Sabor Tarta de Queso,4
