Categoria,PC1,PC2,PC3,PC4,PC5
"Aceites, vinagres y aliños",-0.6895302978703509,-0.44938643918440363,-0.45298646721924773,0.6211575066728422,-0.6347887474271344
Café y expreso,-0.28311442486130906,-0.441532845360067,-0.568770925470292,0.0530844653732895,0.19503374568993223
Cheat Meal,0.6362615896860769,-0.27340216914156523,-0.7086759062784495,0.20068057000054257,0.021867652956015195
Cosmética,3.7935443069110293,-0.5308259844783655,0.04869713037210246,-0.9123761744556232,-0.8186938299928048
Cremas solares,-1.495888074687165,-0.42006326432371927,-0.6273079859439462,0.7439270517241826,-0.00935117051764711
Cremas y Geles,-1.1658032799809002,-0.508057843446169,-0.02906830937601977,-0.5765371011335668,0.2172328371125314
Definición,-0.10211187963387354,0.015011712893208563,-0.6899680921061768,0.32055791601596684,0.16055228649695186
Descanso,3.0799650273740347,-0.5543058955504641,0.19391317771126226,-1.6010038317027273,-0.29627656758928694
Desodorantes,1.5206717209287326,-0.42864595404892347,-0.6312327066469904,-0.050298995088737065,-0.11488060578390044
Efecto calor,-0.6026573733194874,-0.5561491850201693,0.030179420709956672,-1.0785500269792512,0.5743044753525379
Efecto frAo,-9.706185633839839,-0.907377515969024,2.4778764432631917,1.067665209593358,-0.2081302978560897
Energía,-0.7082488183030898,0.3036058402593986,-0.47865399782644275,0.2385271319149233,0.10629391412062744
Fit Food,-0.9082174563561234,0.13093657878534626,-0.4406752626061306,0.21683636796072334,0.09714465527068683
Ganadores de peso,0.8497524558829783,-0.3304618532599414,-0.7262748693236527,0.10640573958489881,0.10192492140196138
Geles Energéticos,1.2725178802631942,-0.25393484251274573,-0.5911220207363483,-0.15570917292637726,0.02658923306737496
Geles y cremas musculares,-1.9298826282738064,-0.41755239169610797,-0.5049890538390697,0.7290496421763636,-0.04121934056401607
Leche y Bebidas Vegetales,-6.3532922468146955,-0.8904853926181742,2.032701063428423,-1.0131516727290117,0.16554051197112596
Otros,-0.2426708229532635,7.891860699719912,0.49273831148417446,-0.09591831272928913,-0.03745236151319979
Pre-Entreno,-0.4571677186799418,-0.09225563015058742,-0.4865569931216943,0.0499366194591645,0.16846723975086042
Productos para el cuidado del cabello,17.11110911925791,-0.6565990820093445,2.0751358668011752,0.8481399410626195,0.21196811504180071
Recuperación,-0.942664125299706,-0.2042420960512443,-0.5593671657147933,0.38705290618309707,0.08023905764373887
Sin Gluten,-2.676387319430411,-0.4261364468368486,0.1444083424389665,-0.0994757799773867,0.03363427536793148
