__motivo__,Product_ID,EAN13,Marca,Proveedor,Nombre,Categoria,Stock Real,Novedades,Estado_Producto
En catálogo con Product_ID pero sin demanda,1002,8436567356175,226ERS,226ERS SPORTS THINGS SL,226ers Nitropro Beetroot 290 Gr Sabor Remolacha,Energía,53,False,Inactivo
En catálogo con Product_ID pero sin demanda,1004,8436567354737,226ERS,226ERS SPORTS THINGS SL,"226ERS HIGH ENERGY GEL - 1 Gel x 60 Ml - Gel EnergA(c)tico Sin Cafeina - Sin Gluten, Vegano / 50 Gr de Hidratos de Carbono Sabor Banana",Geles Energéticos,734,False,Inactivo
En catálogo con Product_ID pero sin demanda,1005,8436567350654,226ERS,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 1 KG - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED - Creatina y MCT - Ideal despuA(c)s del Ejercicio Sabor Chocolate,Recuperación,55,False,Activo
En catálogo con Product_ID pero sin demanda,1006,8436567350463,226ERS,226ERS SPORTS THINGS SL,"226ERS ISOTONIC DRINK 1 KG - Bebida isotónica Sin gluten - Vegana - Sin AzAocar / Sugar Free - con Amilopectina, Beta Alanina, Sales Minerales y Vitaminas - Entrenamientos Intensos e Hidratación Sabor Limón",Hidratación,80,False,Activo
En catálogo con Product_ID pero sin demanda,1009,8436567350647,226ERS,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 1 KG - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED - Creatina y MCT - Ideal despuA(c)s del Ejercicio Sabor Cappuccino,Recuperación,41,False,Activo
En catálogo con Product_ID pero sin demanda,1010,8436567350036,226ERS,226ERS SPORTS THINGS SL,"226ERS ENDURANCE FUEL BAR BCAAs 1 x 60g: Barrita EnergA(c)tica - Sin Gluten, Sin Lactosa, Vegana - Frutas Desecadas, con BCAA 8:1:1 y Vitaminas aEUR"" Snack Natural Antes o Durante Ejercicio Sabor Chocolate Negro",Barritas,554,False,Activo
En catálogo con Product_ID pero sin demanda,1011,8436567350852,226ERS,226ERS SPORTS THINGS SL,226ERS Energy Plus Gel BIO Limon con 40 mg de Cafeina - 1 gel x 40 gr Sabor Limón,Energía,541,False,Inactivo
En catálogo con Product_ID pero sin demanda,1012,8436567350777,226ERS,226ERS SPORTS THINGS SL,"226ERS K-WEEKS IMMUNE 1KG: Batido para Reforzar el Sistema Inmune - Sin Gluten - Bajo en AzAocar / Low Sugar - Con ProteAna Aislada de Suero de Leche ISOLADA, Megaflora 9 EVO, Jalea Real, Equinacea, Beta Glucanos Sabor Cappuccino",Energía,22,False,Inactivo
En catálogo con Product_ID pero sin demanda,1015,8436567350968,226ERS,226ERS SPORTS THINGS SL,226ERS Coll Egg - Membrana De Huevo 60 Cápsulas,Articulaciones,47,False,Inactivo
En catálogo con Product_ID pero sin demanda,1016,8436567356069,226ERS,226ERS SPORTS THINGS SL,"226ERS HIGH ENERGY GEL - 1 Gel x 60 Ml - Gel EnergA(c)tico Sin Cafeina - Sin Gluten, Vegano / 50 Gr de Hidratos de Carbono Sabor Neutro",Geles Energéticos,394,False,Inactivo
En catálogo con Product_ID pero sin demanda,1017,8436567352238,226ERS,226ERS SPORTS THINGS SL,"226ERS 6,4 AMINO + 120UD CAPS:A Cápsulas de Glutamina, BCAA, Arginina y Tirosina - Sin Gluten - Sin AzAocar AA+-adido",Aminoacidos,43,False,Activo
En catálogo con Product_ID pero sin demanda,1018,8436567350609,226ERS,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 1 KG - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED - Creatina y MCT - Ideal despuA(c)s del Ejercicio Sabor Yogurt-Limón,Recuperación,26,False,Inactivo
En catálogo con Product_ID pero sin demanda,1020,8436567354928,226ERS,226ERS SPORTS THINGS SL,"226ERS ISOTONIC GEL 1 gel x 60 Ml: Gel EnergA(c)tico Isotónico - Sin Gluten aEUR"" Vegano -  Con Ciclodextrina - 100mg de CafeAna - Aromas Naturales y Stevia - Realmente Isotónico Sabor Cola",Hidratación,305,False,Activo
En catálogo con Product_ID pero sin demanda,1021,8436567356052,226ERS,226ERS SPORTS THINGS SL,"226ERS HIGH ENERGY GEL - 1 Gel x 60 Ml - Gel EnergA(c)tico Sin Cafeina - Sin Gluten, Vegano / 50 Gr de Hidratos de Carbono Sabor Cacahuete Salado - Miel",Geles Energéticos,276,False,Activo
