Product_ID,total_gaps,total_days,2023-12-31
1000,362,365,True
1001,362,365,True
1002,365,365,True
1003,364,365,True
1004,365,365,True
1005,364,365,True
1006,364,365,True
1007,364,365,True
1008,360,365,True
1009,362,365,True
1010,364,365,True
1011,365,365,True
1012,365,365,True
1013,363,365,True
1014,363,365,True
1015,365,365,True
1016,365,365,True
1017,363,365,True
1018,365,365,True
1019,363,365,True
1020,363,365,True
1021,363,365,True
1022,365,365,True
1023,364,365,True
1024,364,365,True
1025,365,365,True
1026,365,365,True
1027,364,365,True
1028,364,365,True
1029,365,365,True
1030,363,365,True
1031,365,365,True
1032,364,365,True
1033,364,365,True
1034,364,365,True
1035,361,365,True
1036,365,365,True
1037,365,365,True
1038,365,365,True
1039,365,365,True
1040,364,365,True
1041,364,365,True
1042,364,365,True
1043,364,365,True
1044,365,365,True
1045,364,365,True
1046,365,365,True
1047,365,365,True
1048,365,365,True
1049,362,365,True
1050,365,365,True
1051,364,365,True
1052,364,365,True
1053,363,365,True
1054,365,365,True
1055,363,365,True
1056,362,365,True
1057,364,365,True
1058,365,365,True
1059,363,365,True
1060,364,365,True
1061,365,365,True
1062,363,365,True
1063,363,365,True
1064,365,365,True
1065,365,365,True
1066,365,365,True
1067,363,365,True
1068,365,365,True
1069,365,365,True
1070,365,365,True
1071,365,365,True
1072,364,365,True
1073,363,365,True
1074,365,365,True
1075,363,365,True
1076,361,365,True
1077,364,365,True
1078,363,365,True
1079,365,365,True
1080,363,365,True
1081,364,365,True
1082,363,365,True
1083,364,365,True
1084,363,365,True
1085,364,365,True
1086,364,365,True
1087,362,365,True
1088,365,365,True
1089,363,365,True
1090,360,365,True
1091,364,365,True
1092,362,365,True
1093,365,365,True
1094,365,365,True
1095,363,365,True
1096,361,365,True
1097,364,365,True
1098,364,365,True
1099,361,365,True
1100,363,365,True
1101,363,365,True
1102,365,365,True
1103,364,365,True
1104,365,365,True
1105,363,365,True
1106,365,365,True
1107,364,365,True
1108,365,365,True
1109,364,365,True
1110,365,365,True
1111,365,365,True
1112,362,365,True
1113,364,365,True
1114,365,365,True
1115,365,365,True
1116,361,365,True
1117,363,365,True
1118,365,365,True
1119,365,365,True
1120,365,365,True
1121,365,365,True
1122,364,365,True
1123,365,365,True
1124,364,365,True
1125,364,365,True
1126,365,365,True
1127,364,365,True
1128,365,365,True
1129,363,365,True
1130,365,365,True
