model,cluster,split,MAE,WAPE_%,sMAPE_%
naive,0,A,0.6469745078472285,40.74361845563199,39.705055374836746
rf,0,A,0.262986394196108,16.561730291046974,15.138599889102519
sarimax,0,A,0.6163437976874633,38.814630601184376,38.71090440237472
naive,0,B,0.6459667788513733,40.89721853090776,39.78977286761457
rf,0,B,0.2628251077100545,16.639889569151663,15.188592388202787
sarimax,0,B,0.6129520415079238,38.80700124407382,38.68048507356658
naive,1,A,0.9816619377408955,34.005592925491776,35.261962958762545
rf,1,A,0.5435832802200333,18.830180775680603,18.325486203893973
sarimax,1,A,0.8753575785031553,30.323120755120247,31.123851345710797
naive,1,B,0.9669311686362327,33.660358013646345,34.80010232472399
rf,1,B,0.5586412570935482,19.447159554783703,18.95286081435049
sarimax,1,B,0.87217218456898,30.36165234340531,31.10581875797776
naive,2,A,0.22269048169661684,11.445467244829327,12.542128129836092
rf,2,A,0.296262903299195,15.226817642742969,16.486439865106416
sarimax,2,A,0.291747169996163,14.994725650249768,16.12801306590471
naive,2,B,0.22770660024636288,11.747973739098788,12.900841649437545
rf,2,B,0.30392979945117876,15.680526162258401,16.957438721880358
sarimax,2,B,0.292564078267808,15.094139145616397,16.254484270768152
naive,3,A,0.4488253832728551,30.978569843866993,28.46287271233594
rf,3,A,0.21880973963073289,15.10256116140428,13.572268295765202
sarimax,3,A,0.5231705104167029,36.109976844474915,35.63552653959651
naive,3,B,0.445044652472039,30.79798618753412,28.200962002407508
rf,3,B,0.22330604849069902,15.45322825206053,13.8675927547526
sarimax,3,B,0.50569844575952,34.99535082839283,34.328593929368836
