k,cov_type,calinski_harabasz
3,full,637.053710993712
3,diag,2268.161460447947
3,tied,678.931163283811
3,spherical,1835.8728443608727
4,full,529.5577456634187
4,diag,1925.9747975535765
4,tied,714.350360071012
4,spherical,1703.210758128419
5,full,717.3195771474683
5,diag,1557.8609135695592
5,tied,564.094586237024
5,spherical,1823.3576602458218
6,full,602.6386964761598
6,diag,1668.594580094727
6,tied,488.538348149024
6,spherical,1712.0623483372824
7,full,570.9524575967199
7,diag,1260.7340120891872
7,tied,496.5267473126975
7,spherical,1791.0299738038723
8,full,555.8913526034695
8,diag,1432.719298819151
8,tied,440.3837495653709
8,spherical,1436.840207152139
9,full,637.9089774080772
9,diag,1388.1106498646611
9,tied,393.0943446344199
9,spherical,1398.7621948397132
10,full,433.695152325826
10,diag,1274.266102827906
10,tied,354.962450589807
10,spherical,1317.3455899664252
