eps,min_samples,clusters,ruido,ruido_pct,silhouette
0.4,5,54,1672,0.28157628831256315,-0.43003456921681105
0.4,10,18,2399,0.404008083529808,-0.32134300259826115
0.4,15,12,3040,0.5119568878410239,-0.31703503879280387
0.5,5,47,1098,0.18491074435836982,-0.3991267275955734
0.5,10,11,1844,0.3105422701246211,-0.12192610583902577
0.5,15,7,2147,0.3615695520377231,-0.11739396135099574
0.7,5,22,413,0.0695520377231391,-0.19694937296279916
0.7,10,10,810,0.1364095655102728,-0.144235291787674
0.7,15,9,1201,0.2022566520714045,-0.16381938162764037
1.0,5,6,107,0.01801953519703604,0.16782823809436
1.0,10,4,201,0.0338497810710677,0.2252197988650565
1.0,15,4,287,0.048332771977096664,0.2176520873634448
