,cluster,model,mae,wape,smape,status
0,0,SeasonalNaive,15.46174863387978,0.0648283920634119,6.27,ok
1,0,HoltWinters,17.052382850014872,0.0714976415147405,7.01,ok
2,0,SARIMAX,15.782297080017337,0.0661723953086844,6.4,ok
3,1,SeasonalNaive,286.61475409836066,0.0740720080383951,7.28,ok
4,1,HoltWinters,340.476750516492,0.0879919691520461,8.18,ok
5,1,SARIMAX,286.61475409836066,0.0740720080383951,6.95,failed
6,2,SeasonalNaive,123.2896174863388,0.0631661463947245,7.51,ok
7,2,HoltWinters,177.89190912865632,0.0911410595924903,7.92,ok
8,2,SARIMAX,127.66005395086464,0.0654052938197514,6.47,ok
9,3,SeasonalNaive,87.1311475409836,0.0552671940937401,5.62,ok
10,3,HoltWinters,100.91650651056425,0.0640112326072387,6.21,ok
11,3,SARIMAX,87.1311475409836,0.0552671940937401,5.31,failed
