product_id,tipo_outlier,years,n_years,year_total_sum,n_dias_candidatos_sum,n_dias_sum,decision_aplicada
1008,pico_aislado,"2022,2023,2024",3,4927.399999999916,42,1096,suavizado_a015
1076,pico_aislado,"2022,2023,2024",3,3205.549999999945,42,1096,suavizado_a015
1090,pico_aislado,"2022,2023,2024",3,3964.2099999999327,42,1096,suavizado_a015
1199,pico_aislado,"2022,2023,2024",3,2594.7499999999563,42,1096,suavizado_a015
1232,pico_aislado,"2022,2023,2024",3,3679.029999999938,42,1096,suavizado_a015
1321,pico_aislado,"2022,2023,2024",3,3805.449999999935,42,1096,suavizado_a015
1413,pico_aislado,"2022,2023,2024",3,4913.569999999917,42,1096,suavizado_a015
1422,pico_aislado,"2022,2023,2024",3,219.40999999999627,42,1096,suavizado_a015
1439,pico_aislado,"2022,2023,2024",3,158.0499999999973,42,1096,suavizado_a015
1539,top_venta,"2022,2023,2024",3,5533.339999999906,42,1096,sin_cambio
1589,pico_aislado,"2022,2023,2024",3,4868.599999999917,42,1096,suavizado_a015
1620,pico_aislado,"2022,2023,2024",3,3481.0199999999404,42,1096,suavizado_a015
1628,pico_aislado,"2022,2023,2024",3,1586.3399999999729,42,1096,suavizado_a015
1661,pico_aislado,"2022,2023,2024",3,2780.869999999953,42,1096,suavizado_a015
1717,pico_aislado,"2022,2023,2024",3,4049.499999999932,42,1096,suavizado_a015
1791,pico_aislado,"2022,2023,2024",3,344.1099999999942,42,1096,suavizado_a015
1835,pico_aislado,"2022,2023,2024",3,4580.179999999922,42,1096,suavizado_a015
2229,pico_aislado,"2022,2023,2024",3,82.06999999999857,42,1096,suavizado_a015
2286,pico_aislado,"2022,2023,2024",3,1102.1499999999814,42,1096,suavizado_a015
2333,pico_aislado,"2022,2023,2024",3,3298.849999999944,42,1096,suavizado_a015
2344,pico_aislado,"2022,2023,2024",3,1080.8799999999815,42,1096,suavizado_a015
2363,pico_aislado,"2022,2023,2024",3,3814.5299999999356,42,1096,suavizado_a015
2477,pico_aislado,"2022,2023,2024",3,88.71999999999848,42,1096,suavizado_a015
2504,top_venta,"2022,2023,2024",3,5107.479999999912,42,1096,sin_cambio
2538,pico_aislado,"2022,2023,2024",3,3808.4099999999353,42,1096,suavizado_a015
2573,pico_aislado,"2022,2023,2024",3,2673.4699999999543,42,1096,suavizado_a015
2591,pico_aislado,"2022,2023,2024",3,2389.84999999996,42,1096,suavizado_a015
2599,pico_aislado,"2022,2023,2024",3,2595.019999999956,42,1096,suavizado_a015
2656,pico_aislado,"2022,2023,2024",3,4152.379999999929,42,1096,suavizado_a015
2704,pico_aislado,"2022,2023,2024",3,1371.2699999999766,42,1096,suavizado_a015
2745,pico_aislado,"2022,2023,2024",3,1025.7799999999827,42,1096,suavizado_a015
2814,pico_aislado,"2022,2023,2024",3,2205.619999999962,42,1096,suavizado_a015
2888,pico_aislado,"2022,2023,2024",3,364.8199999999938,42,1096,suavizado_a015
2899,pico_aislado,"2022,2023,2024",3,350.59999999999405,42,1096,suavizado_a015
2902,pico_aislado,"2022,2023,2024",3,2219.3199999999624,42,1096,suavizado_a015
3023,pico_aislado,"2022,2023,2024",3,2119.2299999999636,42,1096,suavizado_a015
3029,pico_aislado,"2022,2023,2024",3,342.78999999999417,42,1096,suavizado_a015
3241,pico_aislado,"2022,2023,2024",3,3521.68999999994,42,1096,suavizado_a015
3278,pico_aislado,"2022,2023,2024",3,2696.6699999999546,42,1096,suavizado_a015
3311,pico_aislado,"2022,2023,2024",3,2312.7099999999605,42,1096,suavizado_a015
3329,pico_aislado,"2022,2023,2024",3,578.45999999999,42,1096,suavizado_a015
3354,pico_aislado,"2022,2023,2024",3,2392.2499999999595,42,1096,suavizado_a015
3473,pico_aislado,"2022,2023,2024",3,3507.8199999999406,42,1096,suavizado_a015
3514,pico_aislado,"2022,2023,2024",3,139.41999999999763,42,1096,suavizado_a015
3529,pico_aislado,"2022,2023,2024",3,3995.339999999932,42,1096,suavizado_a015
3542,pico_aislado,"2022,2023,2024",3,3427.8499999999417,42,1096,suavizado_a015
3662,pico_aislado,"2022,2023,2024",3,3107.9299999999466,42,1096,suavizado_a015
3780,pico_aislado,"2022,2023,2024",3,3166.9799999999464,42,1096,suavizado_a015
3847,pico_aislado,"2022,2023,2024",3,1316.0999999999776,42,1096,suavizado_a015
3848,pico_aislado,"2022,2023,2024",3,1580.3099999999731,42,1096,suavizado_a015
3850,pico_aislado,"2022,2023,2024",3,430.20999999999265,42,1096,suavizado_a015
4033,pico_aislado,"2022,2023,2024",3,1746.7499999999704,42,1096,suavizado_a015
4039,pico_aislado,"2022,2023,2024",3,931.1499999999842,42,1096,suavizado_a015
4102,pico_aislado,"2022,2023,2024",3,2606.6199999999553,42,1096,suavizado_a015
4205,pico_aislado,"2022,2023,2024",3,4301.0099999999275,42,1096,suavizado_a015
4244,pico_aislado,"2022,2023,2024",3,3577.57999999994,42,1096,suavizado_a015
4297,pico_aislado,"2022,2023,2024",3,1379.8699999999762,42,1096,suavizado_a015
4376,pico_aislado,"2022,2023,2024",3,728.9899999999877,42,1096,suavizado_a015
4403,pico_aislado,"2022,2023,2024",3,2881.9899999999516,42,1096,suavizado_a015
4408,pico_aislado,"2022,2023,2024",3,339.09999999999417,42,1096,suavizado_a015
4555,pico_aislado,"2022,2023,2024",3,5051.729999999914,42,1096,suavizado_a015
4562,pico_aislado,"2022,2023,2024",3,771.909999999987,42,1096,suavizado_a015
4584,top_venta,"2022,2023,2024",3,5315.699999999911,42,1096,sin_cambio
4695,pico_aislado,"2022,2023,2024",3,3339.959999999943,42,1096,suavizado_a015
4731,pico_aislado,"2022,2023,2024",3,3525.29999999994,42,1096,suavizado_a015
4826,pico_aislado,"2022,2023,2024",3,3503.1699999999405,42,1096,suavizado_a015
4849,pico_aislado,"2022,2023,2024",3,3839.569999999935,42,1096,suavizado_a015
4891,pico_aislado,"2022,2023,2024",3,2340.1399999999603,42,1096,suavizado_a015
4913,pico_aislado,"2022,2023,2024",3,2383.7399999999598,42,1096,suavizado_a015
4917,pico_aislado,"2022,2023,2024",3,1049.219999999982,42,1096,suavizado_a015
4943,pico_aislado,"2022,2023,2024",3,26.809999999999505,42,1096,suavizado_a015
4960,pico_aislado,"2022,2023,2024",3,213.29999999999637,42,1096,suavizado_a015
5017,pico_aislado,"2022,2023,2024",3,1452.749999999975,42,1096,suavizado_a015
5023,pico_aislado,"2022,2023,2024",3,1184.2599999999798,42,1096,suavizado_a015
5124,pico_aislado,"2022,2023,2024",3,2073.729999999965,42,1096,suavizado_a015
5170,pico_aislado,"2022,2023,2024",3,1084.7399999999816,42,1096,suavizado_a015
5171,pico_aislado,"2022,2023,2024",3,1597.0599999999727,42,1096,suavizado_a015
5215,pico_aislado,"2022,2023,2024",3,3465.7399999999407,42,1096,suavizado_a015
5230,pico_aislado,"2022,2023,2024",3,1295.2199999999782,42,1096,suavizado_a015
5244,pico_aislado,"2022,2023,2024",3,410.339999999993,42,1096,suavizado_a015
5279,pico_aislado,"2022,2023,2024",3,582.9199999999902,42,1096,suavizado_a015
5405,pico_aislado,"2022,2023,2024",3,4011.2799999999315,42,1096,suavizado_a015
5477,pico_aislado,"2022,2023,2024",3,1035.6499999999824,42,1096,suavizado_a015
5546,pico_aislado,"2022,2023,2024",3,2301.229999999961,42,1096,suavizado_a015
5641,pico_aislado,"2022,2023,2024",3,405.63999999999305,42,1096,suavizado_a015
5745,pico_aislado,"2022,2023,2024",3,2987.959999999949,42,1096,suavizado_a015
5788,pico_aislado,"2022,2023,2024",3,697.379999999988,42,1096,suavizado_a015
5845,pico_aislado,"2022,2023,2024",3,3767.2599999999356,42,1096,suavizado_a015
5848,pico_aislado,"2022,2023,2024",3,2872.899999999951,42,1096,suavizado_a015
5858,pico_aislado,"2022,2023,2024",3,1357.359999999977,42,1096,suavizado_a015
5860,pico_aislado,"2022,2023,2024",3,1466.4699999999752,42,1096,suavizado_a015
5862,pico_aislado,"2022,2023,2024",3,3008.319999999949,42,1096,suavizado_a015
5907,pico_aislado,"2022,2023,2024",3,4116.50999999993,42,1096,suavizado_a015
5916,pico_aislado,"2022,2023,2024",3,1334.1599999999776,42,1096,suavizado_a015
5926,pico_aislado,"2022,2023,2024",3,58.109999999998976,42,1096,suavizado_a015
5928,pico_aislado,"2022,2023,2024",3,2498.0599999999577,42,1096,suavizado_a015
5934,pico_aislado,"2022,2023,2024",3,1386.8499999999767,42,1096,suavizado_a015
5937,pico_aislado,"2022,2023,2024",3,953.1399999999837,42,1096,suavizado_a015
5942,pico_aislado,"2022,2023,2024",3,2247.369999999962,42,1096,suavizado_a015
5943,pico_aislado,"2022,2023,2024",3,3000.9699999999493,42,1096,suavizado_a015
5949,pico_aislado,"2022,2023,2024",3,2342.83999999996,42,1096,suavizado_a015
5953,pico_aislado,"2022,2023,2024",3,3342.3799999999437,42,1096,suavizado_a015
5955,pico_aislado,"2022,2023,2024",3,955.6699999999837,42,1096,suavizado_a015
5956,pico_aislado,"2022,2023,2024",3,4079.1799999999303,42,1096,suavizado_a015
5958,pico_aislado,"2022,2023,2024",3,2510.969999999957,42,1096,suavizado_a015
5960,pico_aislado,"2022,2023,2024",3,2793.5499999999524,42,1096,suavizado_a015
6335,pico_aislado,"2022,2023,2024",3,3747.449999999936,42,1096,suavizado_a015
6529,pico_aislado,"2022,2023,2024",3,3295.0899999999438,42,1096,suavizado_a015
6548,top_venta,"2022,2023,2024",3,5130.059999999912,42,1096,sin_cambio
6565,pico_aislado,"2022,2023,2024",3,3250.4999999999445,42,1096,suavizado_a015
6648,pico_aislado,"2022,2023,2024",3,3474.209999999941,42,1096,suavizado_a015
6676,pico_aislado,"2022,2023,2024",3,861.0799999999854,42,1096,suavizado_a015
6690,pico_aislado,"2022,2023,2024",3,2258.7499999999613,42,1096,suavizado_a015
6693,pico_aislado,"2022,2023,2024",3,910.5899999999847,42,1096,suavizado_a015
