year,justificado,evento,conteo
2022,True,Festivo Nacional; Rebajas Verano,20160
2022,True,Festivo Nacional; Rebajas Invierno,10080
2022,True,Festivo Nacional,6720
2022,True,Black Friday; Festivo Nacional,3361
2023,True,Festivo Nacional; Rebajas Verano,23527
2023,True,Festivo Nacional,13444
2023,True,Festivo Nacional; Rebajas Invierno,6722
2023,True,Black Friday; Festivo Nacional,3361
2023,True,Festivo Nacional; Semana Santa,3361
2024,True,Festivo Nacional,20166
2024,True,Festivo Nacional; Rebajas Verano,16805
2024,True,Festivo Nacional; Rebajas Invierno,6722
2024,True,Festivo Nacional; Prime Day; Rebajas Verano,3361
2024,True,Festivo Nacional; San Valentín,3361
