categoria_norm_demanda,categoria_norm_pca_sugerida,score,usar_sugerencia,comentario
geles-cremas musculares,geles y cremas musculares,0.9167,SI,
deportes,desodorantes,0.7,REVISAR,
post entreno,pre-entreno,0.6957,REVISAR,
intra entreno,pre-entreno,0.6667,REVISAR,
masa muscular,geles y cremas musculares,0.6316,REVISAR,
articulaciones,recuperacion,0.6154,REVISAR,
suplementacion,recuperacion,0.6154,REVISAR,
aceites esenciales,aceites vinagres y alinos,0.6047,REVISAR,
creatina,cosmetica,0.5882,REVISAR,
sin lactosa,sin gluten,0.5714,REVISAR,
vegano,descanso,0.5714,REVISAR,
vitaminas y minerales,cremas y geles,0.5714,REVISAR,
alimentacion,definicion,0.5455,REVISAR,
te infusiones y rooibos,aceites vinagres y alinos,0.5417,REVISAR,
veganos,descanso,0.5333,REVISAR,
hidratacion,recuperacion,0.5217,REVISAR,
exfoliantes y tratamientos,aceites vinagres y alinos,0.5098,REVISAR,
bano e higiene personal,ganadores de peso,0.5,REVISAR,
aminoacidos,definicion,0.4762,REVISAR,
hidratos de carbono,ganadores de peso,0.4444,REVISAR,
salud cardiovascular,geles y cremas musculares,0.4444,REVISAR,
bebidas,leche y bebidas vegetales,0.4375,REVISAR,
sustitutos y otros,otros,0.4348,REVISAR,
mejorar la memoria,cheat meal,0.4286,REVISAR,
platos preparados,efecto frao,0.4286,REVISAR,
proteinas,otros,0.4286,REVISAR,
agua refrescos y zumos,aceites vinagres y alinos,0.4255,REVISAR,
especias y condimentos,aceites vinagres y alinos,0.4255,REVISAR,
maquillaje,cremas solares,0.4167,REVISAR,
parafarmacia,recuperacion,0.4167,REVISAR,
salud digestiva,cosmetica,0.4167,REVISAR,
belleza y salud,cremas y geles,0.4138,REVISAR,
pack por objetivo,cosmetica,0.3846,REVISAR,
especial masaje deportivo,geles energeticos,0.381,REVISAR,
bio,fit food,0.3636,REVISAR,
salsas y siropes,aceites vinagres y alinos,0.3415,REVISAR,
perfumeria,efecto frao,0.2857,REVISAR,
l-carnitina,cosmetica,0.2,REVISAR,
barritas,energia,0.1333,REVISAR,
dieta keto,fit food,0.1111,REVISAR,
