month,total_before,total_after
1,228654.48904157337,279678.9345639115
2,206526.63526335658,188453.4733597626
3,228654.48904157337,221436.8855389605
4,221278.53778216778,210229.27683590804
5,228654.48904157337,217797.44421283808
6,221278.53778216778,206212.6256907576
7,228654.48904157337,278957.20326871047
8,228654.48904157337,217957.07790102568
9,221278.53778216778,206303.4485323355
10,228654.48904157337,218029.5718505087
11,221278.53778216778,221096.38985922706
12,228654.48904157337,226069.87806909526
TOTAL,2692222.209683041,2692222.209683041
