month,total_month,factor
1,762376.0963407207,0.10205242759559287
2,568744.6483644444,0.07613272809337059
3,603614.2430471887,0.08080040695125816
4,592165.5660240742,0.07926787558180064
5,593693.4991935388,0.07947240624572902
6,580851.6209128717,0.07775337956097382
7,760408.7308389167,0.10178907407966996
8,594128.6442581275,0.07953065519976978
9,581107.4471241414,0.07778762471376385
10,594326.2553306288,0.07955710761579557
11,622775.6229645457,0.08336536845258753
12,616243.3056006744,0.08249094590968821
